iter	Passed	Remaining
0	0	880
1	1	809
2	2	769
3	3	755
4	3	751
5	4	790
6	5	803
7	6	800
8	7	791
9	7	787
10	8	782
11	9	782
12	10	773
13	11	779
14	11	782
15	12	783
16	13	796
17	14	793
18	15	790
19	16	798
20	16	791
21	17	785
22	18	782
23	19	775
24	19	767
25	20	763
26	21	763
27	21	760
28	22	754
29	23	750
30	23	746
31	24	740
32	25	738
33	25	735
34	26	735
35	27	732
36	28	729
37	28	725
38	29	722
39	30	720
40	30	718
41	31	715
42	32	721
43	33	732
44	34	732
45	35	732
46	36	733
47	36	733
48	37	730
49	38	726
50	38	722
51	39	719
52	40	720
53	40	717
54	41	717
55	42	719
56	43	719
57	44	719
58	45	718
59	45	715
60	46	715
61	47	715
62	47	713
63	48	709
64	49	706
65	49	702
66	50	700
67	50	697
68	51	694
69	52	691
70	53	697
71	54	696
72	54	694
73	55	691
74	55	688
75	56	689
76	57	692
77	58	690
78	59	689
79	59	688
80	60	689
81	61	688
82	61	682
83	62	680
84	63	678
85	63	676
86	64	673
87	64	672
88	65	670
89	66	668
90	66	666
91	67	664
92	67	662
93	68	660
94	69	658
95	69	656
96	70	659
97	71	662
98	73	665
99	74	669
100	75	668
101	75	667
102	76	665
103	77	664
104	77	664
105	78	662
106	79	660
107	79	658
108	80	656
109	80	655
110	81	654
111	82	653
112	83	651
113	83	649
114	84	647
115	84	645
116	85	642
117	85	640
118	86	639
119	87	640
120	88	641
121	88	640
122	89	639
123	90	638
124	91	637
125	91	637
126	92	635
127	93	633
128	93	632
129	94	631
130	94	629
131	95	627
132	95	625
133	96	623
134	97	622
135	97	621
136	98	619
137	98	618
138	99	616
139	100	615
140	100	613
141	101	611
142	102	611
143	102	611
144	103	611
145	104	610
146	105	609
147	105	608
148	106	607
149	106	606
150	107	604
151	108	603
152	108	601
153	109	600
154	109	599
155	110	597
156	111	596
157	111	595
158	112	594
159	112	593
160	113	590
161	113	589
162	114	588
163	115	586
164	115	585
165	116	584
166	117	584
167	117	583
168	118	583
169	119	582
170	120	581
171	120	581
172	121	580
173	122	579
174	122	578
175	123	576
176	123	575
177	124	574
178	124	573
179	125	571
180	126	570
181	126	569
182	127	568
183	127	566
184	128	565
185	129	564
186	129	563
187	130	562
188	130	561
189	131	559
190	132	560
191	132	559
192	133	559
193	134	559
194	135	558
195	135	557
196	136	557
197	137	555
198	137	554
199	138	553
200	139	552
201	139	551
202	140	550
203	140	549
204	141	548
205	141	546
206	142	545
207	142	544
208	143	543
